region,townsize,gender,age,agecat,ed,edcat,jobcat,union,employ,empcat,retire,income,lninc,inccat,debtinc,creddebt,lncreddebt,othdebt,lnothdebt,default,jobsat,marital,spoused,spousedcat,reside,pets,pets_cats,pets_dogs,pets_birds,pets_reptiles,pets_small,pets_saltfish,pets_freshfish,homeown,hometype,address,addresscat,cars,carown,cartype,carvalue,carcatvalue,carbought,carbuy,commute,commutecat,commutetime,commutecar,commutemotorcycle,commutecarpool,commutebus,commuterail,commutepublic,commutebike,commutewalk,commutenonmotor,telecommute,reason,polview,polparty,polcontrib,vote,card,cardtype,cardbenefit,cardfee,cardtenure,cardtenurecat,card2,card2type,card2benefit,card2fee,card2tenure,card2tenurecat,active,bfast,tenure,churn,longmon,lnlongmon,longten,lnlongten,tollfree,tollmon,lntollmon,tollten,lntollten,equip,equipmon,lnequipmon,equipten,lnequipten,callcard,cardmon,lncardmon,cardten,lncardten,wireless,wiremon,lnwiremon,wireten,lnwireten,multline,voice,pager,internet,callid,callwait,forward,confer,ebill,owntv,hourstv,ownvcr,owndvd,owncd,ownpda,ownpc,ownipod,owngame,ownfax,news,response_01,response_02,response_03,totalspend,pred_total_spend
1,2.0,1,20,2,15,3,1,1,0,1,0,31,3.4339872044851463,2,11.1,1.2009089999999998,0.18307877003563325,2.240091,0.8065164900417755,1,1,0,-1,-1,3,0,0,0,0,0,0,0,0,0,2,0,1,2,1,0,14.3,1,0,0,8,4,22.0,0,1,1,0,0,0,0,1,0,0,9,6,1,0,1,3,1,1,0,2,2,5,3,1,0,3,2,0,3,5,1,6.5,1.8718021769015913,34.4,3.5380565643793527,1,29.0,3.367295829986474,161.05,5.081714875777208,1,29.5,3.3843902633457743,126.1,4.837075242970874,1,14.25,2.6567569067146595,60.0,4.0943445622221,0,0.0,,0.0,,1,1,1,0,0,1,1,1,0,1,13,1,1,0,0,0,1,1,0,0,0,1,0,149.45999999999998,372.30362686511705
5,5.0,0,22,2,17,4,2,0,0,1,0,15,2.70805020110221,1,18.6,1.2220199999999999,0.20050522722758324,1.5679800000000002,0.44978816674482835,1,1,0,-1,-1,2,6,0,0,0,0,0,0,6,1,3,2,1,2,1,1,6.800000000000001,1,0,0,1,1,29.0,1,0,0,1,0,0,1,0,1,1,9,4,1,0,0,2,4,1,0,4,2,4,1,3,0,4,2,1,1,39,0,8.9,2.186051276738094,330.6,5.8009091853869235,0,0.0,,0.0,,1,54.85,4.00460218672124,1975.0,7.5883236773352225,1,16.0,2.772588722239781,610.0,6.413458957167357,1,45.65,3.8210036070409776,1683.55,7.428659938189792,1,1,1,4,1,0,1,0,1,1,18,1,1,1,1,1,1,1,1,1,0,0,0,77.53999999999999,302.06163224751197
3,4.0,1,67,6,14,2,2,0,16,5,0,35,3.5553480614894135,2,9.9,0.9286200000000001,-0.0740556658294137,2.5363800000000003,0.9307378676210412,0,4,1,13,2,3,3,2,1,0,0,0,0,0,1,1,30,5,3,1,1,18.8,1,0,1,4,3,24.0,1,0,1,1,1,0,0,0,0,0,2,5,1,0,0,2,1,4,0,35,5,4,1,3,0,25,5,0,3,65,0,28.4,3.3463891451671604,1858.35,7.527444276229858,0,0.0,,0.0,,0,0.0,,0.0,,1,23.0,3.1354942159291497,1410.0,7.251344983372214,0,0.0,,0.0,,1,0,0,0,0,0,0,0,0,1,21,1,1,1,0,0,0,0,0,1,0,0,0,359.97,480.9329471738189
4,3.0,0,23,2,16,3,2,0,0,1,0,20,2.995732273553991,1,5.7,0.0228,-3.7809947430217417,1.1172000000000002,0.11082555508888482,1,2,1,18,4,5,0,0,0,0,0,0,0,0,1,3,3,2,3,1,1,8.700000000000001,1,0,1,1,1,38.0,1,0,0,0,0,0,0,0,0,0,9,3,0,0,0,2,1,4,0,5,2,3,2,4,0,5,2,1,1,36,0,6.0,1.791759469228055,199.45,5.295563578351415,0,0.0,,0.0,,0,0.0,,0.0,,1,21.0,3.044522437723423,685.0,6.529418838262226,0,0.0,,0.0,,1,0,0,2,0,0,0,0,1,1,26,1,1,1,0,1,1,1,0,1,1,0,0,359.41,271.0201453869517
2,2.0,0,26,3,16,3,2,0,1,1,0,23,3.1354942159291497,1,1.7000000000000002,0.21465900000000002,-1.5387045564693775,0.176341,-1.73533565847623,0,1,1,13,2,4,0,0,0,0,0,0,0,0,0,2,3,2,1,0,1,10.600000000000001,1,0,1,6,3,32.0,0,0,0,0,0,1,0,1,0,0,9,4,0,0,0,4,2,1,0,8,3,1,3,2,0,9,3,1,3,21,0,3.05,1.1151415906193203,74.1,4.3054155323020415,1,16.5,2.803360380906535,387.7,5.960231844676883,0,0.0,,0.0,,1,17.25,2.847812143477369,360.0,5.886104031450156,1,19.05,2.94706710157271,410.8,6.018106478054404,0,1,0,3,1,1,1,1,0,1,27,1,1,1,0,1,0,1,0,0,0,1,0,507.83000000000004,336.91488589704034
4,4.0,0,64,5,17,4,3,0,22,5,0,107,4.672828834461906,4,5.6000000000000005,1.060584,0.05881969980661042,4.9314160000000005,1.5956261679098511,0,2,0,-1,-1,1,11,1,1,0,0,2,0,7,1,1,31,5,0,-1,-1,-1.0,-1,-1,0,8,4,23.0,0,0,0,0,1,0,0,1,0,0,9,4,0,0,0,2,4,1,1,18,5,3,3,2,1,9,3,0,3,28,0,8.1,2.0918640616783932,264.9,5.579352396278024,1,26.75,3.2865344733420154,726.6,6.588376119787101,1,35.5,3.56953269648137,970.95,6.878274973659629,1,28.25,3.34109345759245,765.0,6.639875833826536,0,0.0,,0.0,,0,0,1,0,1,1,1,1,0,1,21,1,1,1,1,0,0,0,0,0,0,1,0,228.27,475.4354392543875
2,5.0,1,52,5,14,2,1,0,10,3,0,77,4.343805421853684,4,1.9,0.501809,-0.68953570977821,0.9611909999999999,-0.03958213845953938,0,2,0,-1,-1,1,2,0,2,0,0,0,0,0,0,3,21,4,2,1,0,25.6,2,1,0,4,3,32.0,1,0,0,1,0,0,1,1,0,0,9,4,0,0,0,5,3,1,1,3,2,2,3,4,0,2,2,0,2,15,0,3.8,1.33500106673234,44.8,3.8022081394209395,0,0.0,,0.0,,0,0.0,,0.0,,0,0.0,,0.0,,0,0.0,,0.0,,0,0,0,1,0,0,1,0,0,1,19,1,1,1,0,1,1,0,0,0,0,0,0,952.46,450.13734001992447
3,4.0,1,44,4,16,3,1,0,11,4,0,97,4.574710978503383,4,14.399999999999999,5.950367999999999,1.7834530663844796,8.017631999999999,2.081643116434676,0,5,1,15,3,2,10,0,2,0,0,0,0,8,1,3,20,4,1,1,0,55.5,3,0,1,5,3,31.0,0,0,0,0,1,0,0,0,0,0,2,6,0,0,1,1,1,4,0,25,5,3,1,4,0,20,5,0,3,46,0,14.85,2.6979998652487085,612.7,6.417875419731609,1,24.0,3.1780538303479458,1110.4,7.01247558975254,0,0.0,,0.0,,1,14.5,2.6741486494265287,630.0,6.4457198193855785,0,0.0,,0.0,,1,0,0,0,1,1,1,1,0,1,13,1,1,1,0,0,0,0,0,1,0,0,0,1304.8000000000002,996.7927254321062
2,3.0,1,66,6,12,2,1,0,15,4,1,16,2.772588722239781,1,2.6,0.102336,-2.279493761770648,0.313664,-1.1594329296950547,0,2,0,-1,-1,1,1,1,0,0,0,0,0,0,1,1,21,4,1,1,1,8.6,1,0,0,4,3,25.0,1,1,0,1,1,0,0,0,0,0,9,3,1,1,1,3,4,2,0,26,5,2,4,3,0,17,5,1,3,53,0,21.05,3.0469005601283903,1074.35,6.979471106523738,0,0.0,,0.0,,0,0.0,,0.0,,1,15.5,2.740840023925201,830.0,6.721425700790643,0,0.0,,0.0,,1,0,0,0,0,0,0,0,0,1,25,1,1,1,0,0,0,0,0,0,1,0,0,467.83000000000004,222.57187171678177
2,2.0,0,47,4,11,1,6,0,19,5,0,84,4.430816798843313,4,4.1000000000000005,1.7702159999999998,0.5711015730385123,1.6737840000000002,0.5150869314838412,0,4,0,-1,-1,2,1,1,0,0,0,0,0,0,1,1,19,4,4,1,0,41.0,3,1,0,1,1,29.0,1,1,0,0,0,0,0,0,0,0,9,3,1,1,1,5,4,1,0,2,2,2,2,1,0,2,2,1,3,3,1,3.65,1.2947271675944,20.05,2.998229153752578,0,0.0,,0.0,,0,0.0,,0.0,,0,0.0,,0.0,,0,0.0,,0.0,,0,0,0,0,0,0,0,0,0,1,21,1,1,1,0,0,0,0,0,0,0,0,0,310.81,517.1521347564911
4,1.0,1,59,5,19,4,1,0,8,3,0,47,3.8501476017100584,2,8.6,1.3581119999999998,0.3060954999624963,2.683888,0.987266489475726,0,3,0,-1,-1,1,7,3,0,0,0,0,0,4,0,2,14,3,3,1,0,28.0,2,0,1,1,1,17.0,1,0,0,1,0,0,0,0,0,0,9,4,0,0,1,4,3,4,0,16,5,1,1,4,0,17,5,0,3,50,1,8.55,2.145931282948669,446.55,6.101551376129895,0,0.0,,0.0,,1,31.2,3.4404180948154366,1568.35,7.357779390287465,1,19.0,2.9444389791664403,930.0,6.835184586147301,0,0.0,,0.0,,1,0,0,3,0,1,0,0,1,1,26,1,1,1,0,1,1,0,0,0,0,0,0,811.04,386.22719915464415
2,4.0,1,33,3,8,1,2,0,4,2,0,19,2.9444389791664403,1,0.8999999999999999,0.130131,-2.0392136435999286,0.04086899999999999,-3.1973834495301037,0,4,1,9,1,5,6,0,0,0,0,0,0,6,0,2,5,2,2,1,1,9.3,1,0,1,4,3,28.0,1,0,0,1,0,0,0,1,0,0,1,4,0,0,0,3,2,1,0,6,3,2,2,3,0,2,2,0,3,9,1,3.6,1.2809338454620642,37.0,3.6109179126442243,0,0.0,,0.0,,0,0.0,,0.0,,0,0.0,,0.0,,0,0.0,,0.0,,0,0,0,0,0,0,0,0,0,1,27,0,1,1,0,0,0,0,0,0,0,0,0,393.43,260.8942290691807
5,2.0,0,44,4,10,1,1,0,12,4,0,73,4.290459441148391,3,2.8000000000000003,1.250928,0.22388567587164707,0.793072,-0.23184126701740562,0,5,0,-1,-1,1,1,0,1,0,0,0,0,0,1,3,9,3,1,1,1,38.5,2,0,1,1,1,25.0,1,0,0,0,0,0,0,0,0,0,9,4,1,0,1,4,4,1,1,1,1,1,3,1,0,1,1,0,3,5,0,6.75,1.9095425048844386,29.9,3.3978584803966405,0,0.0,,0.0,,0,0.0,,0.0,,1,7.0,1.9459101490553132,30.0,3.4011973816621555,0,0.0,,0.0,,0,0,0,1,1,1,1,1,0,1,21,1,0,1,0,1,0,0,0,0,0,0,0,732.75,517.9159358507729
3,2.0,0,58,5,18,4,1,0,3,2,0,63,4.143134726391533,3,10.5,1.9249649999999996,0.6549077857562743,4.690035,1.5454400451169095,0,3,0,-1,-1,1,0,0,0,0,0,0,0,0,1,4,32,5,0,-1,-1,-1.0,-1,-1,0,3,2,16.0,0,0,1,1,0,0,0,0,0,0,9,4,0,0,1,4,3,4,0,25,5,3,4,1,0,17,5,1,1,58,0,12.1,2.4932054526026954,680.75,6.5231951315538685,1,30.75,3.4258899942525267,1776.7,7.482512990041861,0,0.0,,0.0,,1,24.5,3.1986731175506815,1415.0,7.254884810077338,0,0.0,,0.0,,1,0,0,0,1,0,1,1,0,1,21,1,1,1,0,1,0,0,0,1,0,0,0,978.44,398.5868066731847
2,1.0,1,72,6,20,5,4,1,27,5,1,17,2.833213344056216,1,9.8,1.276156,0.24385243450310526,0.3898440000000001,-0.9420086198797845,0,4,1,17,4,2,0,0,0,0,0,0,0,0,1,1,14,3,1,1,1,9.3,1,0,0,10,5,32.0,0,0,0,1,0,0,0,0,0,1,9,3,1,0,1,3,2,2,0,33,5,4,4,3,1,26,5,1,3,67,0,13.9,2.631888840136646,954.05,6.860716080976351,0,0.0,,0.0,,1,38.55,3.6519561000093383,2580.75,7.855835333345699,1,23.25,3.1463051320333655,1525.0,7.329749689041512,0,0.0,,0.0,,1,0,0,0,0,0,1,0,1,1,24,1,1,1,0,1,0,1,1,1,0,0,0,273.1,264.56061877680116
3,1.0,1,66,6,13,2,6,1,31,5,1,23,3.1354942159291497,1,9.3,0.934743,-0.06748365378627834,1.2042569999999997,0.18586277925782166,0,5,1,12,2,2,9,3,0,0,0,0,0,6,0,2,29,5,3,1,0,11.600000000000001,1,0,1,1,1,14.0,1,0,0,0,1,0,0,1,0,0,2,2,1,1,1,3,3,4,0,40,5,4,2,1,0,30,5,0,2,72,0,38.7,3.655839600035736,2854.9,7.956792095206974,1,27.0,3.295836866004329,1919.0,7.5595594960077,0,0.0,,0.0,,1,68.5,4.22683374526818,4865.0,8.489821994620105,1,43.25,3.7669972333778885,3159.25,8.05808993663879,1,1,1,1,1,1,1,1,0,1,22,1,1,1,0,1,0,0,1,1,0,0,1,396.12,421.69497897218804
